Generación,Fitness Promedio,Fitness Máximo
0,77.486,"(87.92,)"
1,86.93500000000003,"(87.92,)"
2,87.03400000000002,"(87.92,)"
3,87.53000000000002,"(91.62,)"
4,90.11999999999998,"(91.62,)"
5,91.51599999999996,"(92.07999999999998,)"
6,91.07499999999996,"(92.07999999999998,)"
7,90.89499999999997,"(93.72,)"
8,92.08399999999997,"(93.72,)"
9,93.07300000000001,"(94.33999999999999,)"
10,93.826,"(94.33999999999999,)"
11,93.00999999999996,"(96.58000000000001,)"
12,96.38699999999997,"(99.44,)"
13,97.15400000000001,"(99.44,)"
14,98.86300000000003,"(99.44,)"
15,98.59600000000003,"(99.44,)"
16,98.24900000000004,"(99.44,)"
17,99.38600000000004,"(99.44,)"
18,98.36900000000001,"(99.44,)"
19,99.11800000000004,"(99.88,)"
20,98.27300000000002,"(99.88,)"
21,98.343,"(99.88,)"
22,99.13300000000004,"(99.88,)"
23,99.07000000000005,"(99.88,)"
24,98.33800000000001,"(99.88,)"
25,99.81800000000003,"(100.03999999999999,)"
26,98.96399999999998,"(100.03999999999999,)"
27,99.00999999999998,"(100.03999999999999,)"
28,99.64299999999997,"(100.03999999999999,)"
29,97.87599999999999,"(101.07999999999998,)"
30,99.41099999999997,"(101.07999999999998,)"
31,98.55099999999999,"(101.07999999999998,)"
32,99.72999999999996,"(101.07999999999998,)"
33,100.79899999999995,"(102.01999999999998,)"
34,100.66799999999998,"(102.01999999999998,)"
35,101.70099999999998,"(102.01999999999998,)"
36,100.16399999999999,"(102.01999999999998,)"
37,101.46099999999998,"(103.72,)"
38,103.223,"(103.72,)"
39,103.13000000000002,"(103.72,)"
40,100.924,"(108.75999999999999,)"
41,105.64200000000001,"(108.75999999999999,)"
42,107.06999999999998,"(108.75999999999999,)"
43,106.529,"(108.75999999999999,)"
44,106.625,"(108.75999999999999,)"
45,103.27299999999998,"(108.75999999999999,)"
46,106.314,"(108.75999999999999,)"
47,105.96,"(108.75999999999999,)"
48,107.00399999999999,"(108.75999999999999,)"
49,105.30500000000002,"(108.75999999999999,)"
50,106.94200000000001,"(108.75999999999999,)"
51,105.701,"(108.75999999999999,)"
52,105.01100000000001,"(108.75999999999999,)"
53,106.96799999999999,"(108.75999999999999,)"
54,106.821,"(108.75999999999999,)"
55,107.71700000000001,"(108.75999999999999,)"
56,106.91399999999999,"(108.75999999999999,)"
57,104.88399999999999,"(108.75999999999999,)"
58,106.724,"(108.75999999999999,)"
59,105.16399999999999,"(108.75999999999999,)"
60,106.56599999999999,"(108.75999999999999,)"
61,107.06500000000001,"(108.75999999999999,)"
62,108.056,"(108.75999999999999,)"
63,105.386,"(108.75999999999999,)"
64,107.258,"(108.75999999999999,)"
65,106.32300000000001,"(108.75999999999999,)"
66,107.34099999999998,"(108.75999999999999,)"
67,106.434,"(108.75999999999999,)"
68,106.05099999999997,"(108.75999999999999,)"
69,103.277,"(108.75999999999999,)"
70,106.814,"(108.75999999999999,)"
71,108.10300000000002,"(108.75999999999999,)"
72,106.056,"(108.75999999999999,)"
73,105.922,"(108.75999999999999,)"
74,107.21999999999998,"(108.75999999999999,)"
75,105.58999999999999,"(110.13999999999999,)"
76,106.399,"(110.13999999999999,)"
77,109.57799999999995,"(110.13999999999999,)"
78,108.20999999999997,"(110.13999999999999,)"
79,106.24999999999996,"(110.13999999999999,)"
80,107.92099999999996,"(110.13999999999999,)"
81,106.97999999999998,"(110.13999999999999,)"
82,108.65399999999993,"(110.13999999999999,)"
83,107.46499999999996,"(110.13999999999999,)"
84,107.32599999999995,"(110.13999999999999,)"
85,106.63799999999999,"(110.13999999999999,)"
86,107.56099999999995,"(110.13999999999999,)"
87,107.91299999999997,"(110.13999999999999,)"
88,108.04999999999993,"(110.13999999999999,)"
89,107.90699999999993,"(110.13999999999999,)"
90,110.13999999999994,"(110.13999999999999,)"
91,110.13999999999994,"(110.13999999999999,)"
92,108.85499999999998,"(110.13999999999999,)"
93,109.26299999999996,"(110.13999999999999,)"
94,106.08599999999997,"(110.13999999999999,)"
95,107.44099999999996,"(110.13999999999999,)"
96,108.60699999999994,"(110.13999999999999,)"
97,107.93399999999994,"(110.13999999999999,)"
98,106.40799999999997,"(110.13999999999999,)"
99,109.44199999999994,"(110.13999999999999,)"
